Target System,Target Table/Xpath/JSON Schema/Other,Target Column,Source Table/Xpath/JSON Schema/Other,Source Column
ADW_BDV,PACKAGING_COMPONENT_BR,"*[NUMBER_OF_RETAIL_UNITS_IN_SECONDARY_OR_TERTIARY_PACKAGING](#NUMBER_OF_RETAIL_UNITS_IN_SECONDARY_OR_TERTIARY_PACKAGING) <div id=""NUMBER_OF_RETAIL_UNITS_IN_SECONDARY_OR_TERTIARY_PACKAGING Logic""></div>",AP,PACKAGING_DETAIL_NUMBER_OF_RETAIL_UNITS_IN_SECONDARY_OR_TERTIARY_PACKAGING_COMPONENT
ADW_BDV,PACKAGING_COMPONENT_BR,"*[COMPONENT_LENGTH_MM](#COMPONENT_LENGTH_MM) <div id=""COMPONENT_LENGTH_MM Logic""></div>",AP,PACKAGING_COMPONENT_LENGTH_MM
ADW_BDV,PACKAGING_COMPONENT_BR,"*[COMPONENT_WIDTH_MM](#COMPONENT_WIDTH_MM) <div id=""COMPONENT_WIDTH_MM Logic""></div>",AP,PACKAGING_COMPONENT_WIDTH_MM
ADW_BDV,PACKAGING_COMPONENT_BR,"*[COMPONENT_HEIGHT_MM](#COMPONENT_HEIGHT_MM) <div id=""COMPONENT_HEIGHT_MM Logic""></div>",AP,PACKAGING_COMPONENT_HEIGHT_MM
ADW_BDV,PACKAGING_COMPONENT_BR,"*[FOOD_CONTACT_FLAG](#FOOD_CONTACT_FLAG) <div id=""FOOD_CONTACT_FLAG Logic""></div>",AP & OP,"PACKAGING_COMPONENT_FOOD_CONTACT_IND, FOOD_CONTACT_FLAG"
ADW_BDV,PACKAGING_COMPONENT_BR,"*[SINGLE_USE_PLASTIC_FLAG](#SINGLE_USE_PLASTIC_FLAG) <div id=""SINGLE_USE_PLASTIC_FLAG Logic""></div>",AP,PACKAGING_DETAIL_CLASSIFIED_AS_SINGLE_USE_PLASTIC
ADW_BDV,PACKAGING_COMPONENT_BR,"*[LONG_TERM_STORAGE_FLAG](#LONG_TERM_STORAGE_FLAG) <div id=""LONG_TERM_STORAGE_FLAG Logic""></div>",AP,PACKAGING_DETAIL_CLASSIFIED_AS_LONG_TERM_STORAGE_PACKAGING
ADW_BDV,PACKAGING_COMPONENT_BR,"*[INDUSTRIAL_COMPOSTABLE_FLAG](#INDUSTRIAL_COMPOSTABLE_FLAG) <div id=""INDUSTRIAL_COMPOSTABLE_FLAG Logic""></div>",AP,PACKAGING_DETAIL_INDUSTRIAL_COMPOSTABLE_TO_EN13432_DONT_RECYCLE
ADW_BDV,PACKAGING_COMPONENT_BR,"*[HOME_COMPOSTABLE_RECYCLE_FLAG](#HOME_COMPOSTABLE_RECYCLE_FLAG) <div id=""HOME_COMPOSTABLE_RECYCLE_FLAG Logic""></div>",AP,PACKAGING_DETAIL_HOME_COMPOSTABLE_TO_OK_HOME_COMPOST_PROTOCAL_DONT_RECYCLE
ADW_BDV,PACKAGING_COMPONENT_BR,"*[TAMPER_EVIDENT_FLAG](#TAMPER_EVIDENT_FLAG) <div id=""TAMPER_EVIDENT_FLAG Logic""></div>",AP,PACKAGING_DETAIL_TAMPER_EVIDENT
ADW_BDV,PACKAGING_COMPONENT_BR,"*[TAMPER_EVIDENT_FACT_FLAG](#TAMPER_EVIDENT_FACT_FLAG) <div id=""TAMPER_EVIDENT_FACT_FLAG Logic""></div>",AP,PACKAGING_DETAIL_TAMPER_EVIDENT_FACTOR
ADW_BDV,PACKAGING_COMPONENT_BR,"*[COMPONENT_SUPPLIER](#COMPONENT_SUPPLIER) <div id=""COMPONENT_SUPPLIER Logic""></div>",AP & OP,"PACKAGING_DETAIL_PACKAGING_SUPPLIER, PACKAGING_COMPONENT_SUPPLIER"
ADW_BDV,PACKAGING_COMPONENT_BR,"*[COMPONENT_COUNTRY_OF_ORIGIN](#COMPONENT_COUNTRY_OF_ORIGIN) <div id=""COMPONENT_COUNTRY_OF_ORIGIN Logic""></div>",AP & OP,"PACKAGING_DETAIL_COUNTRY_OF_ORIGIN, COMPONENT_COUNTRY_CD"
ADW_BDV,PACKAGING_COMPONENT_BR,"*[COMPONENT_SUPPLIER_CERTIFICATION](#COMPONENT_SUPPLIER_CERTIFICATION) <div id=""COMPONENT_SUPPLIER_CERTIFICATION Logic""></div>",AP & OP,"PACKAGING_DETAIL_SUPPLIER_CERTIFICATION, CERTIFICATION"
ADW_BDV,PACKAGING_COMPONENT_BR,"*[TECHNICAL_METADATA](#TECHNICAL_METADATA) <div id=""TECHNICAL_METADATA Logic""></div>",N/A,N/A
